name,fx,fy,lines
Barons Court,0.311000,0.539270,district;piccadilly
Ravenscourt Park,0.286000,0.545279,district
Stamford Brook,0.268000,0.543777,district
Turnham Green,0.252000,0.537768,district;piccadilly
Chiswick Park,0.233000,0.543777,district
Acton Town,0.228000,0.536266,district;piccadilly
Ealing Common,0.217000,0.507725,district;piccadilly
Ealing Broadway,0.207000,0.473176,central;district;elizabeth line;national rail
Gunnersbury,0.235000,0.575322,district;overground
Kew Gardens,0.219000,0.600858,district;overground
Richmond,0.209000,0.615880,district;national rail;overground
Moorgate,0.517000,0.443133,circle;hammersmith & city;metropolitan;northern
Morden,0.349000,0.812661,northern
South Wimbledon,0.371000,0.776609,northern
Colliers Wood,0.380000,0.766094,northern
Tooting Broadway,0.389000,0.751073,northern
Tooting Bec,0.394000,0.745064,northern
Balham,0.398000,0.736052,national rail;northern
Clapham South,0.405000,0.725536,northern
Clapham Common,0.412000,0.718026,northern
Clapham North,0.420000,0.706009,northern
Oval,0.439000,0.675966,northern
Kennington,0.450000,0.657940,northern
Nine Elms,0.396000,0.645923,northern
Battersea Power Station,0.376000,0.645923,northern
Borough,0.500000,0.596352,northern
Old Street,0.521000,0.408584,national rail;northern
Angel,0.506000,0.399571,northern
Leicester Square,0.447000,0.476180,northern;piccadilly
Tottenham Court Road,0.444000,0.449142,central;elizabeth line;northern
Goodge Street,0.446000,0.432618,northern
Mornington Crescent,0.455000,0.360515,northern
Camden Town,0.459000,0.345494,northern
Chalk Farm,0.455000,0.330472,northern
Belsize Park,0.448000,0.319957,northern
Hampstead,0.424000,0.279399,northern
Golders Green,0.414000,0.265880,northern
Brent Cross,0.407000,0.252361,northern
Hendon Central,0.398000,0.243348,northern
Colindale,0.386000,0.225322,northern
Burnt Oak,0.378000,0.214807,northern
Edgeware,0.370000,0.199785,northern
Kentish Town,0.480000,0.304936,national rail;northern;thameslink
Tufnell Park,0.484000,0.289914,northern
Archway,0.483000,0.265880,northern
Highgate,0.483000,0.247854,northern
East Finchley,0.484000,0.234335,northern
Finchley Central,0.483000,0.220815,northern
Mill Hill East,0.475000,0.201288,northern
West Finchley,0.482000,0.189270,northern
Woodside Park,0.483000,0.178755,northern
Totteridge and Whetstone,0.482000,0.171245,northern
High Barnet,0.483000,0.156223,national rail;northern
Heathrow Terminal 5,0.125000,0.657940,elizabeth line;piccadilly
Heathrow Terminal 4,0.145000,0.660944,elizabeth line;piccadilly
Heathrow Terminals 2 and 3,0.145000,0.611373,elizabeth line;piccadilly
Hatton Cross,0.155000,0.605365,piccadilly
Hounslow West,0.163000,0.590343,piccadilly
Hounslow Central,0.173000,0.578326,piccadilly
Hounslow East,0.178000,0.567811,piccadilly
Osterley,0.184000,0.558798,piccadilly
Boston Manor,0.190000,0.552790,piccadilly
Northfields,0.197000,0.539270,piccadilly
South Ealing,0.208000,0.531760,piccadilly
Knightsbridge,0.378000,0.516738,piccadilly
Hyde Park Corner,0.392000,0.494206,piccadilly
Covent Garden,0.455000,0.467167,piccadilly
Russell Square,0.482000,0.410086,piccadilly
Caledonian Road,0.518000,0.324464,piccadilly
Holloway Road,0.525000,0.312446,piccadilly
Arsenal,0.533000,0.300429,piccadilly
Manor House,0.555000,0.258369,piccadilly
Turnpike Lane,0.553000,0.237339,piccadilly
Wood Green,0.554000,0.223820,piccadilly
Bounds Green,0.553000,0.208798,piccadilly
Arnos Grove,0.554000,0.195279,piccadilly
Southgate,0.554000,0.181760,piccadilly
Oakwood,0.554000,0.166738,piccadilly
Cockfosters,0.554000,0.153219,piccadilly
North Ealing,0.218000,0.453648,piccadilly
Park Royal,0.219000,0.405579,piccadilly
Alperton,0.218000,0.359013,piccadilly
Sudbury Town,0.219000,0.334979,piccadilly
South Harrow,0.218000,0.286910,piccadilly
